date,b0,b1,b2,b3,t1,t2
2021-06-04,0.70978,-1.36012,-3.02002,0.84005,2.41707,1.08536
2021-06-07,0.68922,-1.35688,-4.86948,2.57846,2.11752,1.45031
2021-06-08,0.65569,-1.32379,-9.15675,6.81932,1.92853,1.6355
2021-06-09,0.62416,-1.31647,-18.32132,15.97727,1.83607,1.6895
2021-06-10,0.62239,-1.31807,-18.06399,15.72739,1.86845,1.72253
2021-06-11,0.61975,-0.62997,-3.12128,-1.66736,2.55208,0.19203
2021-06-14,0.62613,-0.69391,-3.02251,-1.52942,2.56927,0.18445
2021-06-15,0.63042,-0.65539,-3.07401,-1.6132,2.52856,0.187
2021-06-16,0.64748,-0.65731,-3.1038,-1.66884,2.46261,0.18077
2021-06-17,0.64064,-0.71519,-2.92672,-1.47535,2.4648,0.18975
2021-06-18,0.57082,-0.65814,-2.8373,-1.46329,2.46227,0.18421
2021-06-21,0.54608,-0.67898,-2.6939,-1.33827,2.48546,0.18716
2021-06-22,0.62821,-0.78974,-2.68049,-1.27056,2.53916,0.19307
2021-06-23,0.63122,-0.82496,-2.66667,-1.2251,2.56386,0.18136
2021-06-24,0.62882,-0.81172,-2.67418,-1.22994,2.55673,0.19024
2021-06-25,0.63455,-0.87088,-2.60176,-1.10865,2.64261,0.1864
2021-06-28,0.66454,-0.90401,-2.62283,-1.09042,2.63651,0.18639
2021-06-29,0.62005,-1.30137,-8.15987,5.99526,2.05267,1.74606
2021-06-30,0.61274,-1.29686,-8.09472,5.92403,2.04837,1.73633
2021-07-01,0.62342,-1.2947,-7.02965,4.85605,2.15738,1.8034
2021-07-02,0.59747,-1.27257,-6.07504,3.89864,2.1772,1.7266
2021-07-05,0.61015,-1.29426,-8.00001,5.79475,2.13156,1.8021
2021-07-06,0.59332,-1.27873,-9.27301,7.09832,2.11735,1.85011
2021-07-07,0.51154,-1.19757,-24.49677,22.34304,2.07129,1.97805
2021-07-08,0.45325,-1.13177,-19.96837,17.83623,2.1589,2.04197
2021-07-09,0.48637,-1.15521,-22.29681,20.11366,2.12287,2.0182
2021-07-12,0.49572,-1.17077,-23.9278,21.74236,2.07824,1.97599
2021-07-13,0.51762,-1.19774,-22.00948,19.81108,2.04448,1.92933
2021-07-14,0.5191,-1.19812,-28.17921,25.97539,2.03333,1.94586
2021-07-15,0.45731,-1.14022,-4.49955,2.49641,2.36641,1.67176
2021-07-16,0.44505,-1.12354,-5.53323,3.4878,2.24612,1.7269
2021-07-19,0.40249,-1.0726,-9.94933,7.88476,2.20587,1.95661
2021-07-20,0.34032,-1.01136,-20.33796,18.24525,2.09032,1.97464
2021-07-21,0.35774,-1.02645,-15.39835,13.27038,2.12121,1.97275
2021-07-22,0.36707,-1.05075,-16.84788,14.71159,2.04646,1.90431
2021-07-23,0.3665,-1.05205,-12.67946,10.53927,2.1281,1.93532
2021-07-26,0.33833,-1.02472,-24.98609,22.81537,2.09927,2.00769
2021-07-27,0.32539,-1.0141,-29.71786,27.52832,2.03339,1.95584
2021-07-28,0.33592,-1.02272,-29.98628,27.76027,2.05794,1.9819
2021-07-29,0.34283,-1.03074,-28.33506,26.07296,2.0822,2.0023
2021-07-30,0.3416,-1.01901,-28.22787,25.95844,2.08352,2.0049
2021-08-02,0.33449,-1.00162,-22.14114,19.86323,2.1019,2.00222
2021-08-03,0.30541,-0.96359,-19.61424,17.34751,2.15211,2.04347
2021-08-04,0.27792,-0.9119,-20.45785,18.16964,2.19011,2.09371
2021-08-05,0.22983,-0.87428,-20.85711,18.63875,2.13508,2.04179
2021-08-06,0.22708,-0.87066,-21.87559,19.69653,2.14087,2.05269
2021-08-09,0.00047,-0.60718,-3.88762,2.8763,4.23115,6.64897
2021-08-10,0.00034,-0.60436,-3.51114,2.52558,4.18858,6.92444
2021-08-11,0.00019,-0.6084,-4.3763,3.5258,4.45098,6.58134
2021-08-12,0.00012,-0.61936,-4.65439,3.7745,4.5869,6.48006
2021-08-13,0.00012,-0.61716,-6.58879,5.74023,4.85339,6.09859
2021-08-16,0.0001,-0.6169,-6.85605,6.00204,4.90207,6.09673
2021-08-17,0.00017,-0.61964,-8.01919,7.09158,5.03209,6.00198
2021-08-18,0.00011,-0.62645,-11.36645,10.53355,5.24603,5.95606
2021-08-19,0.20227,-0.90038,4.55103,-6.62844,1.87649,2.25569
2021-08-20,0.22033,-0.90243,4.78885,-6.91301,1.92925,2.27575
2021-08-23,0.26584,-0.94828,9.13962,-11.253,2.03214,2.23395
2021-08-24,0.23738,-0.92687,-8.02474,6.02396,2.2052,1.90409
2021-08-25,0.27446,-0.95699,-5.55227,3.56028,2.32283,1.86359
2021-08-26,0.34392,-1.02204,-12.12845,10.01634,2.12842,1.94503
2021-08-27,0.34191,-1.02021,-18.46793,16.34317,2.14172,2.02681
2021-08-30,0.33418,-1.00464,-21.08348,18.95189,2.16239,2.06328
2021-08-31,0.33856,-1.01653,-22.06784,19.95343,2.19408,2.09688
2021-09-01,0.38819,-1.08546,-24.97581,22.84274,1.99697,1.9061
2021-09-02,0.00012,-0.61582,-4.83448,4.34406,4.65283,6.94406
2021-09-03,0.00013,-0.64102,-9.86751,9.53902,5.48755,6.57907
2021-09-06,0.44767,-1.12752,-3.12395,1.12649,2.55465,1.46444
2021-09-07,0.48382,-1.16076,-5.44724,3.33727,2.31992,1.82258
2021-09-08,0.4457,-1.13616,-14.74125,12.63395,2.08427,1.92794
2021-09-09,0.45049,-1.14783,-12.74702,10.66349,2.12987,1.95187
2021-09-10,0.43881,-1.13999,-22.01854,19.90954,2.11621,2.01738
2021-09-13,0.45857,-1.15394,-18.8379,16.70464,2.12971,2.0165
2021-09-14,0.47666,-1.17896,-15.93847,13.80979,2.11283,1.9775
